match_id,result
1244844,1
1244845,1
1249233,0
1249234,1
1253268,1
1253269,1
1253270,1
1253271,0
1249242,1
1249243,0
1260094,0
1260095,0
1260096,1
1260103,0
1260104,0
1260105,0
1263617,0
1260106,0
1263618,1
1260107,0
1263619,0
1263575,0
1263576,0
1263577,0
1289032,1
1289033,1
1289034,1
1289035,0
1289036,0
1243909,1
1243910,1
1243911,1
1243912,0
1243913,0
1243915,0
1243916,0
1243918,1
1243919,1
1243920,1
1243922,0
1243923,1
1243925,0
1243926,0
1243928,1
1243929,1
1243931,1
1243932,1
1243933,0
1243934,0
1243935,1
1243937,0
1243938,0
1310985,1
1310986,1
1319712,0
1319713,0
1319714,0
1301328,0
1301329,0
1301330,0
1301337,1
1301338,0
1301339,0
1322341,0
1345092,1
1345093,1
1345094,1
1368851,1
1379757,1
1379758,0
1379759,0
1336077,0
1336078,0
1382166,1
1336079,1
1382167,0
1382169,0
1336083,1
1382170,0
1336085,1
1382171,1
1392348,1
1392349,0
1392350,1
1405124,0
1405126,1
1388199,0
1388200,0
1398258,0
1398259,0
1398260,1
1406078,0
1406079,1
1406080,1
1375872,0
1375873,1
1375874,1
1425061,0
1425062,1
1425063,1
1388207,0
1388208,1
1388209,0
1398266,1
1398267,0
1398271,1
1398273,1
1434287,0
1434288,0
1434289,1
1398274,1
1398275,1
1398276,0
1454391,0
1454392,0
1454393,1
1432228,1
1426620,0
1426621,1
1432229,1
1426622,1
1432230,0
1443566,0
1443567,1
1426623,1
1426624,0
1426625,0
1443569,0
1443570,1
1477022,0
1476980,1
1476981,0
1476982,1
1476983,1
1476984,1
1476985,0
1476986,1
1448402,0
1448403,0
1448404,1
1488248,0
1500387,1
1488249,0
1500388,0
1488250,0
1500389,0
1490413,1
1490414,1
1490415,0
1490416,0
1490418,0
1490419,0
1490420,0
1490421,1
1490422,1
1490423,0
1490424,1
1490425,0
1490426,1
1490429,1
1490430,1
1490432,0
1490433,1
1490434,0
1490435,1
1490436,1
1490438,0
1490439,0
1490441,1
1490442,0
1490443,0
