match_id,result
1153856,0
1153857,1
1168165,1
1168166,1
1144983,1
1172161,0
1172162,0
1144984,0
1176432,1
1176433,1
1176434,0
1177016,1
1168022,0
1168023,0
1168024,1
1183513,0
1183514,0
1183515,0
1200180,0
1200181,1
1200182,1
1208344,1
1208345,0
1187714,1
1187715,0
1187716,0
1223944,1
1223945,1
1223946,1
1244843,1
1244844,0
1244845,1
1249232,1
1249233,0
1249234,1
1253267,1
1253268,0
1253269,1
1253270,1
1253271,0
1249241,1
1249242,0
1249243,1
1260094,1
1260095,0
1260096,1
1260103,1
1260104,1
1260105,0
1263617,0
1260106,1
1263618,1
1260107,0
1263619,1
1263575,1
1263576,1
1263577,0
1289032,1
1289033,0
1289034,1
1289035,0
1289036,0
1243909,0
1243910,0
1243911,1
1243912,0
1243913,0
1243915,0
1243916,0
1243918,1
1243919,0
1243920,1
1243922,1
1243923,1
1243925,1
1243926,1
1243928,0
1243929,1
1243931,0
1243932,1
1243933,1
1243934,1
1243935,1
1243937,0
1243938,1
1310984,1
1310985,0
1310986,0
1319712,0
1319713,0
1319714,1
1301328,0
1301329,1
1301330,1
1301337,1
1301338,1
1301339,0
1322341,1
1345092,0
1345093,1
1345094,0
1368851,1
1379757,0
1379758,1
1379759,1
1336077,0
1336078,1
1382166,1
1336079,1
1382167,0
1382169,0
1336083,1
1382170,0
1336085,1
1382171,0
1392348,0
1392349,1
1392350,0
1405124,0
1405126,0
1388199,1
1388200,0
1398258,0
1398259,0
1398260,1
1406078,0
1406079,1
1406080,1
1375872,0
1375873,0
1375874,1
1425061,1
1425062,0
1425063,1
1388207,1
1388208,0
1388209,1
1398266,0
1398267,0
1398271,0
1398273,0
1434287,1
1434288,1
1434289,1
1398274,0
1398275,0
1398276,1
1454391,0
1454392,1
1454393,0
1432228,0
1426620,0
1426621,0
1432229,0
1426622,0
1432230,1
1443566,0
1443567,0
1426623,0
1426624,1
1426625,0
1443569,0
1443570,1
1477022,0
1476980,0
1476981,0
1476982,0
1476983,1
1476984,1
1476985,0
1476986,0
1448402,0
1448403,1
1448404,1
1488248,0
1500387,1
1488249,0
1500388,1
1488250,0
1500389,0
1490413,1
1490414,0
1490415,0
1490416,1
1490418,0
1490419,1
1490420,1
1490421,1
1490422,1
1490423,0
1490424,0
1490425,0
1490426,1
1490429,0
1490430,1
1490432,1
1490433,1
1490434,1
1490435,1
1490436,1
1490438,0
1490439,0
1490441,0
1490442,0
1490443,1
