match_id,result
1123205,0
1131233,1
1138201,0
1131778,1
1144436,1
1144437,1
1144438,1
1144439,0
1126717,1
1126718,1
1126719,1
1126728,0
1126729,0
1157706,1
1157707,1
1157708,0
1161228,0
1161229,0
1161230,1
1153855,1
1153856,1
1153857,0
1168164,0
1168165,0
1168166,1
1144982,0
1172160,0
1144983,0
1172161,0
1172162,1
1144984,0
1176432,0
1176433,0
1176434,1
1177015,1
1177016,0
1168022,0
1168023,0
1168024,0
1183513,0
1183514,1
1183515,1
1200180,1
1200181,1
1200182,1
1208344,0
1208345,0
1187714,1
1187715,1
1187716,0
1223944,1
1223945,1
1223946,1
1244843,0
1244844,1
1244845,1
1249232,1
1249233,1
1249234,1
1253267,1
1253268,0
1253269,1
1253270,0
1253271,1
1249241,0
1249242,1
1249243,0
1260094,0
1260095,0
1260096,0
1260103,1
1260104,0
1260105,0
1263617,0
1260106,0
1263618,0
1260107,0
1263619,0
1286901,1
1263575,1
1263576,0
1263577,0
1289032,1
1289033,0
1289034,1
1289035,0
1289036,1
1243909,1
1243910,0
1243911,0
1243912,1
1243913,1
1243915,0
1243916,0
1243918,0
1243919,1
1243920,0
1243922,1
1243923,0
1243925,1
1243926,1
1243928,1
1243929,0
1243931,0
1243932,1
1243933,0
1243934,1
1243935,0
1243937,0
1243938,1
1310984,0
1310985,1
1310986,0
1319712,1
1319713,1
1319714,0
1301328,1
1301329,1
1301330,0
1301337,1
1301338,1
1301339,1
1322341,1
1345092,1
1345093,0
1345094,0
1368851,1
1379757,0
1379758,1
1379759,1
1336077,1
1336078,0
1382166,1
1336079,1
1382167,1
1382169,1
1336083,1
1382170,1
1336085,1
1382171,1
1392348,0
1392349,1
1392350,1
1405124,1
1405126,1
1388199,0
1388200,0
1398258,0
1398259,0
1398260,0
1406078,1
1406079,0
1406080,0
1375872,1
1375873,0
1375874,1
1425061,0
1425062,0
1425063,0
1388207,1
1388208,0
1388209,0
1398266,0
1398267,1
1398271,0
1398273,0
1434287,0
1434288,1
1434289,0
1398274,1
1398275,0
1398276,0
1454391,1
1454392,1
1454393,0
1432228,0
1426620,0
1426621,1
1432229,0
1426622,0
1432230,0
1443566,0
1443567,1
1426623,0
1426624,1
1426625,0
1443569,0
1443570,1
1477022,0
1476980,1
1476981,0
1476982,0
1476983,1
1476984,0
1476985,0
1476986,0
1448402,0
1448403,0
1448404,0
1488248,0
1500387,1
1488249,1
1500388,0
1488250,1
1500389,1
1490413,0
1490414,1
1490415,0
1490416,0
1490418,0
1490419,0
1490420,0
1490421,0
1490422,1
1490423,1
1490424,0
1490425,1
1490426,1
1490429,1
1490430,1
1490432,1
1490433,0
1490434,1
1490435,0
1490436,0
1490438,0
1490439,1
1490441,0
1490442,1
1490443,1
