match_id,start_date,team,opponent,home_advantage,delta_wt_win_perc,delta_wt_bat_avg,delta_wt_bat_sr,delta_wt_bowl_avg,delta_wt_bowl_econ
1244844,2021-01-23,South Africa,Pakistan,1,100.0,-2.41,1.0,2.41,-0.06
1244845,2021-01-26,South Africa,Pakistan,1,100.0,0.93,2.63,-0.93,-0.16
1249233,2021-02-26,New Zealand,England,1,-100.0,-72.7,-23.92,72.7,1.44
1249234,2021-02-28,New Zealand,England,1,-100.0,-56.73,-22.73,56.73,1.36
1253268,2021-03-09,India,South Africa,1,-100.0,-9.76,-13.81,66.54,0.47
1253269,2021-03-12,South Africa,India,-1,32.23,-7.2,0.2,-2.29,0.02
1253270,2021-03-14,South Africa,India,-1,50.89,-9.85,-2.82,-6.36,-0.09
1253271,2021-03-17,India,South Africa,1,-60.81,11.8,3.72,11.56,0.24
1249242,2021-04-07,Australia,New Zealand,-1,75.45,29.52,22.79,-21.83,-0.8
1249243,2021-04-10,New Zealand,Australia,1,-80.02,-20.99,-20.6,21.32,0.81
1260094,2021-06-27,India,England,-1,-47.14,-4.45,-7.58,16.63,0.34
1260095,2021-06-30,India,England,-1,-57.92,-13.42,-11.88,20.82,0.54
1260096,2021-07-03,India,England,-1,-64.75,-15.22,-10.37,21.39,0.49
1260103,2021-09-16,New Zealand,England,-1,-50.89,-17.58,-11.2,11.83,1.01
1260104,2021-09-19,New Zealand,England,-1,-57.2,-14.31,-10.4,9.66,0.9
1260105,2021-09-21,England,New Zealand,1,61.91,12.04,9.58,-8.15,-0.82
1263617,2021-09-21,India,Australia,-1,-75.37,-3.62,-18.45,22.07,0.14
1260106,2021-09-23,New Zealand,England,-1,-46.32,-9.45,-7.98,5.95,0.7
1263618,2021-09-24,Australia,India,1,77.75,13.55,18.19,-23.97,-0.23
1260107,2021-09-26,New Zealand,England,-1,-50.89,-9.1,-7.33,5.86,0.63
1263619,2021-09-26,Australia,India,1,79.64,14.78,16.4,-22.19,-0.1
1263575,2022-02-03,England,Australia,-1,-11.95,-9.02,-8.6,-0.88,-0.53
1263576,2022-02-06,England,Australia,-1,-18.88,-6.75,-6.31,0.04,-0.42
1263577,2022-02-08,England,Australia,-1,-24.56,-7.25,-6.07,1.46,-0.24
1289032,2022-02-12,New Zealand,India,1,-8.24,-10.76,-4.79,-10.47,0.27
1289033,2022-02-15,New Zealand,India,1,-0.83,-9.23,-2.67,-9.6,0.14
1289034,2022-02-18,New Zealand,India,1,5.41,-9.12,-2.25,-8.7,0.13
1289035,2022-02-22,India,New Zealand,-1,-10.75,8.02,1.98,8.98,-0.11
1289036,2022-02-24,New Zealand,India,1,15.37,-6.24,-0.82,-10.23,0.05
1243910,2022-03-05,Australia,England,0,29.29,9.93,6.74,-2.95,0.11
1243909,2022-03-05,South Africa,Bangladesh,0,-12.25,3.85,6.31,0.81,0.33
1243911,2022-03-06,India,Pakistan,0,24.43,6.97,12.11,14.2,0.82
1243912,2022-03-07,Bangladesh,New Zealand,-1,16.57,-2.0,-15.53,-7.49,-1.1
1243913,2022-03-08,Pakistan,Australia,0,-90.22,-19.85,-20.85,3.99,-0.14
1243915,2022-03-10,India,New Zealand,-1,-9.35,6.45,0.35,7.09,-0.16
1243916,2022-03-11,Pakistan,South Africa,0,-88.64,-8.17,-8.09,0.53,0.21
1243918,2022-03-13,Australia,New Zealand,-1,51.38,18.15,7.11,-6.89,-0.68
1243919,2022-03-14,South Africa,England,0,32.46,1.19,-5.71,1.4,-0.09
1243920,2022-03-14,Bangladesh,Pakistan,0,34.5,-2.23,1.75,2.12,0.09
1243922,2022-03-16,India,England,0,-27.68,1.26,0.33,10.8,0.63
1243923,2022-03-17,South Africa,New Zealand,-1,51.88,6.48,-5.73,-2.81,-0.84
1243925,2022-03-19,India,Australia,0,-65.94,-12.39,-8.19,14.32,0.56
