match_id,start_date,team,opponent,home_advantage,delta_wt_win_perc,delta_wt_bat_avg,delta_wt_bat_sr,delta_wt_bowl_avg,delta_wt_bowl_econ
1243926,2022-03-20,New Zealand,England,1,-19.42,-4.74,0.63,4.45,0.75
1243929,2022-03-22,India,Bangladesh,0,-25.26,6.74,8.91,8.93,0.49
1243928,2022-03-22,Australia,South Africa,0,1.54,12.65,13.57,-3.88,0.19
1243931,2022-03-24,England,Pakistan,0,57.97,5.64,11.64,-3.15,-0.13
1243932,2022-03-25,Australia,Bangladesh,0,51.55,23.16,21.44,-5.09,0.03
1243933,2022-03-26,Pakistan,New Zealand,-1,-35.64,-2.27,-13.96,-0.37,-0.57
1243935,2022-03-27,South Africa,India,0,58.88,1.48,-4.46,-8.14,-0.57
1243934,2022-03-27,Bangladesh,England,0,-24.66,-8.18,-14.18,4.3,0.22
1243937,2022-03-31,South Africa,England,0,25.77,2.5,-3.17,4.22,0.21
1243938,2022-04-03,England,Australia,0,-30.74,-13.44,-8.12,-0.25,-0.27
1310985,2022-06-03,Pakistan,Sri Lanka,1,6.62,6.1,6.67,-56.22,0.47
1310986,2022-06-05,Sri Lanka,Pakistan,-1,-12.23,-6.25,-7.28,77.26,0.13
1319712,2022-07-01,Sri Lanka,India,1,5.82,-7.27,-11.63,6.59,-0.58
1319713,2022-07-04,Sri Lanka,India,1,-3.88,-8.86,-13.76,3.51,-0.5
1319714,2022-07-07,Sri Lanka,India,1,-10.34,-10.38,-15.86,12.39,-0.17
1301328,2022-07-11,South Africa,England,-1,22.81,1.32,-4.96,4.03,0.18
1301329,2022-07-15,South Africa,England,-1,18.82,0.58,-5.62,4.48,0.23
1301330,2022-07-18,South Africa,England,-1,15.21,-0.5,-6.14,5.42,0.28
1301337,2022-09-18,India,England,-1,-31.32,-0.28,-2.89,9.45,0.48
1301338,2022-09-21,England,India,1,28.24,-0.16,2.53,-8.95,-0.46
1301339,2022-09-24,England,India,1,25.38,-0.93,1.99,-8.02,-0.42
1322341,2022-12-11,Bangladesh,New Zealand,-1,-7.09,-4.61,-17.35,0.62,-0.52
1345092,2023-01-16,Australia,Pakistan,1,81.65,20.42,22.76,-4.07,0.09
1345093,2023-01-18,Australia,Pakistan,1,82.46,21.18,22.81,-4.9,0.04
1345094,2023-01-21,Australia,Pakistan,1,83.19,22.8,23.9,-6.23,-0.06
1368851,2023-05-04,Sri Lanka,Bangladesh,1,-10.25,0.67,4.09,9.2,0.16
1379757,2023-06-27,Sri Lanka,New Zealand,1,-11.88,-2.92,-10.89,6.36,-0.26
1379758,2023-06-30,Sri Lanka,New Zealand,1,-3.19,-1.01,-8.79,5.73,-0.18
1379759,2023-07-03,New Zealand,Sri Lanka,-1,7.8,1.8,9.56,-7.36,-0.05
1336077,2023-07-12,Australia,England,-1,34.74,14.85,7.99,-1.51,0.06
1382166,2023-07-16,Bangladesh,India,1,-11.65,-11.95,-18.33,-0.42,-0.13
1336078,2023-07-16,England,Australia,1,-30.86,-14.13,-7.68,1.34,-0.07
1336079,2023-07-18,England,Australia,1,-32.17,-13.79,-7.61,1.16,-0.09
1382167,2023-07-19,Bangladesh,India,1,-5.14,-11.61,-18.15,-2.64,-0.22
1382169,2023-09-08,Pakistan,South Africa,1,-65.14,-6.45,-10.13,-0.42,-0.08
1336083,2023-09-09,England,Sri Lanka,1,22.13,5.56,9.34,-12.09,-0.48
1382170,2023-09-11,Pakistan,South Africa,1,-66.21,-7.46,-10.52,1.04,-0.02
1336085,2023-09-14,England,Sri Lanka,1,25.55,7.0,10.28,-12.29,-0.53
1382171,2023-09-14,Pakistan,South Africa,1,-67.18,-7.9,-10.74,1.75,0.01
1392348,2023-09-24,South Africa,New Zealand,1,35.91,4.82,-3.88,0.14,-0.33
1392349,2023-09-28,New Zealand,South Africa,-1,-37.24,-4.93,3.68,0.03,0.33
1392350,2023-10-01,New Zealand,South Africa,-1,-38.49,-5.47,3.38,0.6,0.33
1405124,2023-11-04,Bangladesh,Pakistan,1,16.17,-4.78,-4.97,-0.89,-0.07
1405126,2023-11-10,Bangladesh,Pakistan,1,11.83,-5.41,-5.71,-0.53,-0.06
1388199,2023-12-12,Pakistan,New Zealand,-1,-23.91,-2.65,-14.41,-0.16,-0.44
1388200,2023-12-15,Pakistan,New Zealand,-1,-25.29,-3.18,-14.87,0.91,-0.35
1398258,2023-12-16,South Africa,Bangladesh,1,43.56,12.11,16.43,1.73,0.22
1398259,2023-12-20,Bangladesh,South Africa,-1,-38.67,-10.42,-14.87,-3.32,-0.28
1398260,2023-12-23,South Africa,Bangladesh,1,40.73,10.04,14.35,2.39,0.24
1406078,2023-12-28,India,Australia,1,-51.48,-12.3,-10.47,7.24,0.2
1406079,2023-12-30,Australia,India,-1,52.39,12.71,10.51,-7.42,-0.2
1406080,2024-01-02,Australia,India,-1,53.22,12.31,10.3,-7.27,-0.19
1375872,2024-02-03,South Africa,Australia,-1,-15.42,-12.19,-13.68,5.38,0.04
1375873,2024-02-07,South Africa,Australia,-1,-16.9,-12.77,-13.95,5.83,0.07
1375874,2024-02-10,Australia,South Africa,1,14.78,11.67,13.74,-5.29,-0.06
1425061,2024-03-21,Bangladesh,Australia,1,-56.76,-22.02,-28.8,5.28,-0.08
1425062,2024-03-24,Australia,Bangladesh,-1,58.18,22.29,29.01,-5.6,0.07
1425063,2024-03-27,Australia,Bangladesh,-1,59.46,22.53,29.77,-5.75,0.04
1388207,2024-04-01,New Zealand,England,1,-20.41,-4.49,-2.59,4.8,0.53
1388208,2024-04-04,England,New Zealand,-1,21.51,4.64,2.76,-4.93,-0.53
1388209,2024-04-07,England,New Zealand,-1,22.55,4.6,2.9,-4.89,-0.53
1398266,2024-04-13,South Africa,Sri Lanka,1,39.39,7.66,4.49,-7.19,-0.5
1398267,2024-04-17,South Africa,Sri Lanka,1,41.64,7.93,4.31,-8.67,-0.48
1398271,2024-05-23,England,Pakistan,1,47.24,7.43,17.01,-5.62,-0.18
1398273,2024-05-29,England,Pakistan,1,47.97,7.38,16.94,-5.56,-0.19
1434287,2024-06-16,South Africa,India,-1,36.07,0.37,-2.5,-2.45,-0.14
1434288,2024-06-19,South Africa,India,-1,34.19,-0.02,-2.89,-1.95,-0.1
1434289,2024-06-23,India,South Africa,1,-32.43,0.23,2.92,1.81,0.11
1398274,2024-06-26,England,New Zealand,1,21.89,4.39,2.86,-4.69,-0.52
1398275,2024-06-30,England,New Zealand,1,22.77,4.74,3.09,-5.03,-0.53
1398276,2024-07-03,New Zealand,England,-1,-23.61,-5.03,-3.45,5.31,0.55
1454391,2024-10-24,New Zealand,India,-1,0.77,-5.27,-0.34,-2.31,0.16
1454392,2024-10-27,India,New Zealand,1,0.44,5.24,0.5,2.12,-0.17
1454393,2024-10-29,India,New Zealand,1,-0.67,4.98,0.23,2.23,-0.15
1432228,2024-12-04,South Africa,England,1,5.58,-0.31,-6.25,6.13,0.3
1426620,2024-12-05,India,Australia,-1,-49.58,-10.61,-9.58,8.26,0.29
1432229,2024-12-08,England,South Africa,-1,-6.45,0.06,6.18,-5.85,-0.3
1426621,2024-12-08,Australia,India,1,50.19,10.65,9.93,-8.39,-0.32
1432230,2024-12-11,South Africa,England,1,5.42,-0.34,-6.28,5.98,0.3
1426622,2024-12-11,Australia,India,1,50.76,10.79,10.36,-8.52,-0.34
1443566,2024-12-21,New Zealand,Australia,1,-50.49,-15.74,-10.68,6.55,0.46
1443567,2024-12-23,Australia,New Zealand,-1,50.99,15.75,10.85,-6.64,-0.47
1426623,2025-01-12,Australia,England,1,26.14,10.33,7.1,-1.32,0.08
1426624,2025-01-14,England,Australia,-1,-26.72,-10.35,-7.11,1.42,-0.07
1426625,2025-01-17,England,Australia,-1,-27.27,-10.03,-7.06,1.45,-0.06
1443569,2025-03-07,Sri Lanka,New Zealand,-1,-3.58,-1.65,-5.03,9.61,0.21
1443570,2025-03-09,New Zealand,Sri Lanka,1,5.4,2.09,5.73,-9.52,-0.2
1477022,2025-04-19,Bangladesh,Pakistan,-1,14.61,-4.25,-6.05,-1.2,-0.16
1476980,2025-04-27,India,Sri Lanka,-1,5.95,7.03,6.57,-7.58,-0.33
1476981,2025-04-29,South Africa,India,0,29.36,-0.09,-2.88,-1.21,-0.1
1476982,2025-05-02,Sri Lanka,South Africa,1,-36.21,-7.38,-4.12,9.6,0.43
1476983,2025-05-04,Sri Lanka,India,1,-5.83,-7.15,-6.63,7.78,0.31
1476984,2025-05-07,India,South Africa,0,-27.88,0.3,2.96,0.97,0.1
1476985,2025-05-09,Sri Lanka,South Africa,1,-30.88,-6.57,-3.35,8.16,0.4
1476986,2025-05-11,India,Sri Lanka,-1,4.97,6.81,5.8,-6.97,-0.34
1448402,2025-07-16,England,India,1,22.59,-0.3,2.65,-7.13,-0.42
1448403,2025-07-19,India,England,-1,-21.85,0.3,-2.6,7.11,0.42
1448404,2025-07-22,India,England,-1,-22.3,0.17,-2.62,7.2,0.42
1488248,2025-09-14,India,Australia,1,-49.87,-9.66,-9.62,8.78,0.37
1500387,2025-09-16,South Africa,Pakistan,-1,51.35,7.52,11.64,0.12,0.14
1488249,2025-09-17,Australia,India,-1,50.2,9.9,9.69,-8.8,-0.37
1500388,2025-09-19,Pakistan,South Africa,1,-51.81,-7.44,-11.45,0.17,-0.14
1488250,2025-09-20,India,Australia,1,-49.02,-9.54,-9.47,8.63,0.36
1500389,2025-09-22,South Africa,Pakistan,-1,52.25,7.55,11.12,-0.59,0.13
1490413,2025-09-30,India,Sri Lanka,1,6.65,7.1,6.44,-7.16,-0.35
1490414,2025-10-01,Australia,New Zealand,0,50.15,14.66,11.2,-6.19,-0.4
1490415,2025-10-02,Pakistan,Bangladesh,0,-11.96,4.86,6.97,1.06,0.18
1490416,2025-10-03,South Africa,England,0,4.66,0.13,-5.47,6.06,0.32
1490418,2025-10-05,Pakistan,India,0,-24.8,-7.76,-14.66,-0.74,-0.25
1490419,2025-10-06,New Zealand,South Africa,0,-27.07,-4.68,2.03,-1.31,0.19
1490420,2025-10-07,Bangladesh,England,0,-32.71,-11.91,-23.43,4.71,0.01
1490421,2025-10-08,Australia,Pakistan,0,74.1,17.25,24.6,-7.61,-0.09
1490422,2025-10-09,South Africa,India,-1,25.56,-0.36,-3.37,-0.92,-0.11
1490423,2025-10-10,Bangladesh,New Zealand,0,-9.97,-7.07,-19.96,-0.34,-0.52
1490424,2025-10-11,England,Sri Lanka,-1,29.56,6.85,8.45,-14.28,-0.81
1490425,2025-10-12,India,Australia,1,-49.11,-9.24,-9.67,8.5,0.34
1490426,2025-10-13,South Africa,Bangladesh,0,38.28,12.06,18.21,1.52,0.33
1490429,2025-10-16,Australia,Bangladesh,0,62.03,21.39,31.05,-5.99,0.12
1490430,2025-10-17,South Africa,Sri Lanka,-1,34.76,7.07,3.55,-7.66,-0.48
1490432,2025-10-19,India,England,1,-22.06,0.29,-1.83,7.27,0.46
1490433,2025-10-20,Sri Lanka,Bangladesh,0,4.04,4.53,14.33,9.05,0.79
1490434,2025-10-21,Pakistan,South Africa,0,-51.6,-7.8,-11.66,0.16,-0.13
1490435,2025-10-22,Australia,England,0,27.24,9.84,8.03,-1.3,0.11
1490436,2025-10-23,India,New Zealand,1,1.03,5.21,1.69,2.3,-0.05
1490438,2025-10-25,South Africa,Australia,0,-22.83,-9.84,-13.11,7.26,0.22
1490439,2025-10-26,New Zealand,England,0,-23.4,-4.81,-3.37,5.05,0.51
1490441,2025-10-29,South Africa,England,0,4.24,-0.09,-5.07,5.96,0.32
1490442,2025-10-30,Australia,India,-1,49.53,9.45,9.79,-8.61,-0.35
1490443,2025-11-02,South Africa,India,-1,26.22,-0.54,-3.36,-1.32,-0.14
